Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
359,1.940,21.4,40200,NaN,NaN,NaN,,,,,,,,,,,,
361,2.019,21.9,40500,NaN,NaN,NaN,,,,,,,,,,,,
363,1.984,21.7,40700,NaN,NaN,NaN,,,,,,,,,,,,
365,2.071,22.2,41000,NaN,NaN,NaN,,,,,,,,,,,,
367,2.108,22.4,41300,NaN,NaN,NaN,,,,,,,,,,,,
369,2.070,22.2,41600,NaN,NaN,NaN,,,,,,,,,,,,
371,2.025,21.9,41900,NaN,NaN,NaN,,,,,,,,,,,,
373,2.120,22.4,42200,NaN,NaN,NaN,,,,,,,,,,,,
375,2.217,22.9,42400,NaN,NaN,NaN,,,,,,,,,,,,
377,2.180,22.7,42700,NaN,NaN,NaN,,,,,,,,,,,,
379,2.161,22.6,43000,NaN,NaN,NaN,,,,,,,,,,,,
381,2.207,22.9,43300,NaN,NaN,NaN,,,,,,,,,,,,
383,2.051,22.1,43600,NaN,NaN,NaN,,,,,,,,,,,,
385,2.185,22.8,43900,NaN,NaN,NaN,,,,,,,,,,,,
387,2.317,23.4,44200,NaN,NaN,NaN,,,,,,,,,,,,
389,2.145,22.6,44500,NaN,NaN,NaN,,,,,,,,,,,,
391,2.147,22.6,44800,NaN,NaN,NaN,,,,,,,,,,,,
393,2.346,23.6,45100,NaN,NaN,NaN,,,,,,,,,,,,
395,2.246,23.1,45400,NaN,NaN,NaN,,,,,,,,,,,,
397,2.414,23.9,45700,NaN,NaN,NaN,,,,,,,,,,,,
399,2.246,23.1,46100,NaN,NaN,NaN,,,,,,,,,,,,
401,2.263,23.2,46500,NaN,NaN,NaN,,,,,,,,,,,,
403,2.313,23.4,46700,NaN,NaN,NaN,,,,,,,,,,,,
405,2.150,22.6,46900,NaN,NaN,NaN,,,,,,,,,,,,
407,2.315,23.4,47200,NaN,NaN,NaN,,,,,,,,,,,,
