Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
390.5,0.283,7.2,21967,18969,18921,146,,,,,,,,,,,,
392.5,0.285,7.2,22071,18993,18943,138,,,,,,,,,,,,
394.5,0.285,7.2,22175,19002,18952,139,,,,,,,,,,,,
396.5,0.282,7.1,22280,19011,18962,140,,,,,,,,,,,,
398.5,0.285,7.2,22384,19021,18971,140,,,,,,,,,,,,
400.5,0.313,8.1,22489,19030,18981,141,,,,,,,,,,,,
402.5,0.280,7.1,22593,19039,18990,142,,,,,,,,,,,,
404.5,0.277,7.0,22698,19048,19000,142,,,,,,,,,,,,
406.5,0.287,7.3,22802,19057,19009,142,,,,,,,,,,,,
408.5,0.287,7.3,22906,19066,19019,142,,,,,,,,,,,,
410.5,0.272,6.9,23011,19075,19028,142,,,,,,,,,,,,
412.5,0.283,7.2,23115,19084,19037,142,,,,,,,,,,,,
414.5,0.287,7.3,23220,19093,19046,142,,,,,,,,,,,,
416.5,0.277,7.0,23324,19102,19056,141,,,,,,,,,,,,
418.5,0.277,7.0,23429,19111,19065,140,,,,,,,,,,,,
420.5,0.262,6.6,23533,19120,19074,139,,,,,,,,,,,,
422.5,0.256,6.4,23637,19129,19084,138,,,,,,,,,,,,
424.5,0.254,6.3,23742,19138,19093,136,,,,,,,,,,,,
426.5,0.255,6.4,23846,19147,19102,135,,,,,,,,,,,,
428.5,0.246,6.1,23951,19156,19111,133,,,,,,,,,,,,
430.5,0.239,5.9,24055,19165,19120,131,,,,,,,,,,,,
432.5,0.254,6.3,24160,19173,19130,128,,,,,,,,,,,,
434.5,0.253,6.3,24264,19182,19139,126,,,,,,,,,,,,
436.5,0.262,6.5,24369,19191,19148,123,,,,,,,,,,,,
440.5,0.261,6.5,24577,19209,19166,116,,,,,,,,,,,,
442.5,0.290,7.4,24682,19218,19175,112,,,,,,,,,,,,
444.5,0.301,7.7,24786,19227,19184,108,,,,,,,,,,,,
446.5,0.319,8.2,24891,19306,19266,147,,,,,,,,,,,,
448.5,0.267,6.7,24995,19598,19565,268,,,,,,,,,,,,
453.0,0.276,7.0,25230,20256,20230,417,,,,,,,,,,,,
455.0,0.307,7.9,25335,20549,20525,464,,,,,,,,,,,,
457.0,0.292,7.4,25439,20841,20820,504,,,,,,,,,,,,
459.0,0.280,7.1,25543,21134,21115,539,,,,,,,,,,,,
461.0,0.306,7.9,25648,21426,21409,569,,,,,,,,,,,,
463.0,0.297,7.6,25752,21719,21704,596,,,,,,,,,,,,
465.0,0.315,8.1,25857,22011,21998,619,,,,,,,,,,,,
467.0,0.327,8.5,25961,22303,22292,640,,,,,,,,,,,,
469.0,0.313,8.1,26066,22596,22586,658,,,,,,,,,,,,
471.0,0.317,8.2,26170,22888,22880,673,,,,,,,,,,,,
473.0,0.373,9.8,26260,23181,23174,686,,,,,,,,,,,,
475.0,0.324,8.4,26351,23473,23468,697,,,,,,,,,,,,
479.0,0.286,7.3,26532,24058,24055,714,,,,,,,,,,,,
483.0,0.316,8.2,26712,24643,24643,722,,,,,,,,,,,,
485.0,0.295,7.5,26803,24936,24936,724,,,,,,,,,,,,
487.0,0.288,7.3,26893,25229,25230,724,,,,,,,,,,,,
489.0,0.269,6.8,26983,25521,25523,722,,,,,,,,,,,,
491.0,0.314,8.1,27074,25814,25816,718,,,,,,,,,,,,
493.0,0.317,8.2,27164,26106,26110,712,,,,,,,,,,,,
495.0,0.303,7.8,27254,26399,26403,705,,,,,,,,,,,,
497.0,0.304,7.8,27345,26691,26696,695,,,,,,,,,,,,
499.0,0.297,7.6,27435,26984,26989,684,,,,,,,,,,,,
501.0,0.307,7.9,27526,27276,27282,670,,,,,,,,,,,,
503.0,0.315,8.1,27616,27569,27575,654,,,,,,,,,,,,
505.0,0.308,7.9,27706,27861,27868,635,,,,,,,,,,,,
507.0,0.316,8.1,27797,28154,28161,614,,,,,,,,,,,,
509.0,0.303,7.8,27887,28446,28454,590,,,,,,,,,,,,
511.0,0.339,8.8,27977,28739,28746,562,,,,,,,,,,,,
513.0,0.348,9.1,28068,29032,29039,531,,,,,,,,,,,,
515.0,0.332,8.6,28158,29324,29331,495,,,,,,,,,,,,
517.0,0.348,9.1,28249,29617,29623,453,,,,,,,,,,,,
519.0,0.338,8.8,28339,29909,29914,403,,,,,,,,,,,,
521.0,0.305,7.8,28429,30202,30206,343,,,,,,,,,,,,
523.0,0.318,8.2,28520,30495,30496,264,,,,,,,,,,,,
525.0,0.312,8.0,28610,30745,30743,191,,,,,,,,,,,,
527.0,0.319,8.2,28718,30868,30870,235,,,,,,,,,,,,
529.0,0.312,8.0,28827,30991,30996,270,,,,,,,,,,,,
531.0,0.282,7.2,28935,31114,31121,298,,,,,,,,,,,,
533.0,0.259,6.5,29043,31238,31246,323,,,,,,,,,,,,
535.0,0.305,7.8,29152,31361,31370,344,,,,,,,,,,,,
537.0,0.297,7.6,29260,31484,31495,363,,,,,,,,,,,,
539.0,0.294,7.5,29368,31607,31619,379,,,,,,,,,,,,
541.0,0.280,7.1,29477,31731,31743,394,,,,,,,,,,,,
543.0,0.305,7.8,29585,31854,31867,406,,,,,,,,,,,,
545.0,0.282,7.1,29693,31977,31991,417,,,,,,,,,,,,
547.0,0.299,7.6,29802,32101,32115,427,,,,,,,,,,,,
549.0,0.309,7.9,29910,32224,32239,435,,,,,,,,,,,,
551.0,0.316,8.2,30018,32347,32362,442,,,,,,,,,,,,
553.0,0.294,7.5,30127,32471,32486,447,,,,,,,,,,,,
555.0,0.316,8.1,30235,32594,32609,452,,,,,,,,,,,,
557.0,0.261,6.5,30343,32717,32733,455,,,,,,,,,,,,
559.0,0.290,7.4,30452,32841,32856,457,,,,,,,,,,,,
561.0,0.292,7.4,30560,32964,32979,459,,,,,,,,,,,,
