Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
1330,4.256,26.8,96429,NaN,NaN,NaN,,,,,,,,,,,,
1335,4.245,26.8,97476,NaN,NaN,NaN,,,,,,,,,,,,
1340,4.451,27.3,98524,NaN,NaN,NaN,,,,,,,,,,,,
1345,4.271,26.9,99571,NaN,NaN,NaN,,,,,,,,,,,,
1348,4.330,27.0,100200,NaN,NaN,NaN,,,,,,,,,,,,
1352,4.609,27.7,101038,NaN,NaN,NaN,,,,,,,,,,,,
1355,4.451,27.3,101667,NaN,NaN,NaN,,,,,,,,,,,,
1360,4.407,27.2,102714,NaN,NaN,NaN,,,,,,,,,,,,
1365,4.724,28.0,103762,NaN,NaN,NaN,,,,,,,,,,,,
1370,4.130,26.5,104810,NaN,NaN,NaN,,,,,,,,,,,,
1375,3.781,25.53,105857,NaN,NaN,NaN,,,,,,,,,,,,
1380,4.052,26.3,106905,NaN,NaN,NaN,,,,,,,,,,,,
1385,3.716,25.34,107952,NaN,NaN,NaN,,,,,,,,,,,,
1390,3.820,25.64,109000,NaN,NaN,NaN,,,,,,,,,,,,
1395,3.967,26.06,110667,NaN,NaN,NaN,,,,,,,,,,,,
1400,3.698,25.28,112333,NaN,NaN,NaN,,,,,,,,,,,,
1405,4.266,26.87,114000,NaN,NaN,NaN,,,,,,,,,,,,
1410,4.108,26.45,115667,NaN,NaN,NaN,,,,,,,,,,,,
1415,4.397,27.21,117333,NaN,NaN,NaN,,,,,,,,,,,,
1420,4.116,26.47,119000,NaN,NaN,NaN,,,,,,,,,,,,
1425,4.675,27.89,119727,NaN,NaN,NaN,,,,,,,,,,,,
1430,5.190,29.05,120455,NaN,NaN,NaN,,,,,,,,,,,,
1435,5.600,29.89,121182,NaN,NaN,NaN,,,,,,,,,,,,
1440,5.020,28.68,121909,NaN,NaN,NaN,,,,,,,,,,,,
1445,5.090,28.83,122636,NaN,NaN,NaN,,,,,,,,,,,,
1450,4.969,28.56,123364,NaN,NaN,NaN,,,,,,,,,,,,
1455,4.813,28.21,124091,NaN,NaN,NaN,,,,,,,,,,,,
1460,4.934,28.49,124818,NaN,NaN,NaN,,,,,,,,,,,,
1465,4.938,28.49,125545,NaN,NaN,NaN,,,,,,,,,,,,
1470,4.593,27.69,126273,NaN,NaN,NaN,,,,,,,,,,,,
1475,4.299,26.96,127000,NaN,NaN,NaN,,,,,,,,,,,,
1480,4.590,27.68,127727,NaN,NaN,NaN,,,,,,,,,,,,
1485,3.857,25.75,128455,NaN,NaN,NaN,,,,,,,,,,,,
1490,4.022,26.22,129182,NaN,NaN,NaN,,,,,,,,,,,,
1495,4.217,26.74,129909,NaN,NaN,NaN,,,,,,,,,,,,
1498,4.084,26.39,130345,NaN,NaN,NaN,,,,,,,,,,,,
1502,4.208,26.72,130927,NaN,NaN,NaN,,,,,,,,,,,,
1505,4.091,26.4,131364,NaN,NaN,NaN,,,,,,,,,,,,
1510,3.875,25.8,132091,NaN,NaN,NaN,,,,,,,,,,,,
1515,3.590,24.95,132818,NaN,NaN,NaN,,,,,,,,,,,,
1520,3.990,26.13,133545,NaN,NaN,NaN,,,,,,,,,,,,
1525,3.694,25.27,134273,NaN,NaN,NaN,,,,,,,,,,,,
1530,3.464,24.56,135000,NaN,NaN,NaN,,,,,,,,,,,,
1535,3.705,25.3,135652,NaN,NaN,NaN,,,,,,,,,,,,
1540,3.632,25.08,136304,NaN,NaN,NaN,,,,,,,,,,,,
1545,3.642,25.11,136957,NaN,NaN,NaN,,,,,,,,,,,,
1550,3.473,24.58,137609,NaN,NaN,NaN,,,,,,,,,,,,
1555,3.649,25.13,138261,NaN,NaN,NaN,,,,,,,,,,,,
1560,3.581,24.92,138913,NaN,NaN,NaN,,,,,,,,,,,,
1565,3.861,25.76,139565,NaN,NaN,NaN,,,,,,,,,,,,
1570,3.722,25.35,140217,NaN,NaN,NaN,,,,,,,,,,,,
1575,3.871,25.79,140870,NaN,NaN,NaN,,,,,,,,,,,,
1580,3.723,25.36,141522,NaN,NaN,NaN,,,,,,,,,,,,
1585,3.676,25.22,142174,NaN,NaN,NaN,,,,,,,,,,,,
1590,3.790,25.56,142826,NaN,NaN,NaN,,,,,,,,,,,,
1595,3.493,24.65,143478,NaN,NaN,NaN,,,,,,,,,,,,
1600,3.340,24.15,144130,NaN,NaN,NaN,,,,,,,,,,,,
1605,3.839,25.7,144783,NaN,NaN,NaN,,,,,,,,,,,,
1610,3.411,24.38,145435,NaN,NaN,NaN,,,,,,,,,,,,
1615,3.644,25.12,146087,NaN,NaN,NaN,,,,,,,,,,,,
1620,3.758,25.46,146739,NaN,NaN,NaN,,,,,,,,,,,,
1625,3.454,24.52,147391,NaN,NaN,NaN,,,,,,,,,,,,
1630,3.414,24.39,148043,NaN,NaN,NaN,,,,,,,,,,,,
1635,3.478,24.6,148696,NaN,NaN,NaN,,,,,,,,,,,,
1640,4.045,26.28,149348,NaN,NaN,NaN,,,,,,,,,,,,
1645,3.405,24.36,150000,NaN,NaN,NaN,,,,,,,,,,,,
1648,3.690,25.26,150391,NaN,NaN,NaN,,,,,,,,,,,,
1652,3.955,26.03,150913,NaN,NaN,NaN,,,,,,,,,,,,
1655,4.216,26.74,151304,NaN,NaN,NaN,,,,,,,,,,,,
1660,3.919,25.93,151957,NaN,NaN,NaN,,,,,,,,,,,,
1665,3.695,25.27,152609,NaN,NaN,NaN,,,,,,,,,,,,
1670,4.044,26.28,153261,NaN,NaN,NaN,,,,,,,,,,,,
