Proxy depth,d18O,Temperature,Published age,Age model error
(m),(VSMOW),(°„C),(yr BP),"(yr, 1¶“)"
1280.75,-34.23,-29.0,7690,18.5
1283.05,-33.96,-28.2,7710,19
1285.37,-34.50,-29.8,7730,19
1288.19,-34.57,-30.0,7750,19.5
1290.27,-34.83,-30.8,7770,19.5
1292.52,-34.37,-29.4,7790,19.5
1294.98,-34.43,-29.6,7810,20
1297.04,-34.30,-29.2,7830,20
1299.46,-34.90,-31.0,7850,20.5
1301.66,-34.85,-30.9,7870,20.5
1303.70,-34.88,-31.0,7890,20.5
1305.94,-34.59,-30.1,7910,21
1308.11,-34.76,-30.6,7930,21
1310.24,-34.26,-29.1,7950,21.5
1312.46,-34.29,-29.2,7970,21.5
1314.43,-34.70,-30.4,7990,21.5
1316.72,-35.11,-31.7,8010,22
1318.72,-35.16,-31.8,8030,22
1320.89,-35.26,-32.1,8050,22.5
1323.09,-34.86,-30.9,8070,22.5
1325.11,-35.12,-31.7,8090,22.5
1326.98,-35.92,-34.2,8110,23
1328.82,-36.01,-34.4,8130,23
1330.82,-35.17,-31.9,8150,23.5
1332.59,-35.96,-34.3,8170,23.5
1334.42,-36.05,-34.6,8190,23.5
1336.33,-36.63,-36.3,8210,24
1338.45,-35.28,-32.2,8230,24
1340.50,-34.87,-31.0,8250,24.5
1342.68,-34.67,-30.3,8270,24.5
1344.82,-34.83,-30.8,8290,24.5
1346.77,-34.90,-31.0,8310,25
1348.75,-35.04,-31.5,8330,25
1350.71,-34.47,-29.7,8350,25.5
1352.75,-34.97,-31.3,8370,25.5
1354.65,-35.04,-31.5,8390,25.5
1356.79,-34.62,-30.2,8410,26
1358.70,-35.28,-32.2,8430,26
1360.72,-34.52,-29.9,8450,26.5
1362.85,-34.62,-30.2,8470,26.5
1364.81,-34.85,-30.9,8490,26.5
1366.86,-34.79,-30.7,8510,27
1368.82,-34.69,-30.4,8530,27
1370.77,-34.46,-29.7,8550,27.5
1372.72,-34.40,-29.5,8570,27.5
1374.88,-34.72,-30.5,8590,27.5
1376.74,-35.18,-31.9,8610,28
1378.79,-35.16,-31.8,8630,28
1380.74,-35.14,-31.8,8650,28.5
1382.86,-34.69,-30.4,8670,28.5
1384.78,-35.54,-33.0,8690,29
1386.66,-34.41,-29.6,8710,29
1388.58,-34.86,-30.9,8730,29
1390.60,-34.72,-30.5,8750,29.5
1392.56,-35.24,-32.1,8770,29.5
1394.50,-34.87,-31.0,8790,30
1396.34,-34.47,-29.7,8810,30
