Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
657.5,4.060,26.3,16570,16583,16886,319,,,,,,,,,,,,
660.0,3.934,26.0,16620,16630,16938,311,,,,,,,,,,,,
665.0,3.945,26.0,16710,16724,17041,294,,,,,,,,,,,,
667.5,3.833,25.7,16760,16770,17092,284,,,,,,,,,,,,
670.0,3.973,26.1,16810,16816,17143,273,,,,,,,,,,,,
675.0,4.123,26.5,16900,16904,17241,242,,,,,,,,,,,,
677.5,3.924,25.9,17370,17384,17654,352,,,,,,,,,,,,
680.0,3.245,23.8,17830,17854,18060,404,,,,,,,,,,,,
685.0,3.248,23.8,18760,18785,18868,408,,,,,,,,,,,,
690.0,3.225,23.8,19700,19708,19671,274,,,,,,,,,,,,
692.0,3.352,24.2,20070,20066,19985,102,,,,,,,,,,,,
695.0,3.394,24.3,20240,20140,20045,150,,,,,,,,,,,,
697.5,3.500,24.7,20320,20197,20102,182,,,,,,,,,,,,
700.0,3.583,24.9,20410,20253,20159,210,,,,,,,,,,,,
705.0,3.428,24.4,20570,20367,20272,256,,,,,,,,,,,,
707.5,3.573,24.9,20660,20423,20329,276,,,,,,,,,,,,
710.0,3.707,25.3,20740,20480,20386,295,,,,,,,,,,,,
