Proxy depth,d18O,Temperature,Published age,Age model error
(m),(VSMOW),(°„C),(yr BP),"(yr, 1¶“)"
1052.32,-34.74,-30.6,6650,10
1054.83,-34.37,-29.4,6670,10
1057.53,-34.49,-29.8,6690,10
1060.01,-34.52,-29.9,6710,10
1062.56,-34.58,-30.1,6730,10
1064.83,-35.12,-31.7,6750,10
1067.20,-34.69,-30.4,6770,10
1069.60,-34.32,-29.3,6790,10
1072.08,-34.36,-29.4,6810,10
1074.49,-34.72,-30.5,6830,10
1077.09,-34.56,-30.0,6850,10.5
1079.59,-34.97,-31.3,6870,10.5
1082.24,-34.32,-29.3,6890,10.5
1084.41,-34.26,-29.1,6910,11
1086.53,-35.11,-31.7,6930,11
1088.77,-34.73,-30.5,6950,11.5
1091.33,-34.47,-29.7,6970,11.5
1093.71,-34.82,-30.8,6990,11.5
1095.88,-34.90,-31.0,7010,12
1098.20,-34.77,-30.6,7030,12
1100.75,-34.40,-29.5,7050,12.5
1103.61,-34.95,-31.2,7070,12.5
1106.00,-34.97,-31.3,7090,12.5
1108.25,-34.36,-29.4,7110,13
1110.46,-35.28,-32.2,7130,13
1112.82,-34.74,-30.6,7150,13.5
1115.24,-34.68,-30.4,7170,13.5
1117.64,-34.93,-31.1,7190,13.5
1119.92,-34.87,-31.0,7210,14
1122.07,-34.12,-28.7,7230,14
1124.25,-34.84,-30.9,7250,14.5
1126.65,-34.99,-31.3,7270,14.5
1129.13,-34.73,-30.5,7290,14.5
1131.51,-34.64,-30.3,7310,15
1134.16,-34.74,-30.6,7330,15
1136.34,-34.31,-29.2,7350,15.5
1138.52,-34.55,-30.0,7370,15.5
1141.01,-34.62,-30.2,7390,15.5
1143.07,-34.50,-29.8,7410,16
1145.40,-34.44,-29.6,7430,16
1147.83,-33.88,-27.9,7450,16.5
1150.16,-34.77,-30.6,7470,16.5
1152.66,-34.78,-30.7,7490,16.5
1155.07,-35.04,-31.5,7510,17
1157.29,-34.34,-29.3,7530,17
1159.81,-34.52,-29.9,7550,17.5
1162.23,-34.08,-28.5,7570,17.5
1164.07,-34.01,-28.3,7590,17.5
1166.38,-34.88,-31.0,7610,18
