,,Proxy depth,Published Proxy,Published Proxy,Published age,Published Temperature,Marine09 age,Age model error,,,14C depth,14C age,14C error,忖R,忖R error,Marine09 age,,,,,
,TN057-17PC,698.00,4.0000,1.38000,10833.82,4.00,10988.31,264.20,,,,,,,,,,,,,
,TN057-17PC,710.00,4.2100,2.03000,10931.76,4.21,11085.79,249.05,,,,,,,,,,,,,
,TN057-17PC,716.00,3.6700,1.27000,10980.73,3.67,11134.52,240.23,,,,,,,,,,,,,
,TN057-17PC,721.00,3.8800,1.09000,11021.54,3.88,11175.13,232.16,,,,,,,,,,,,,
,TN057-17PC,726.00,6.1900,3.22000,11062.34,6.19,11215.73,223.33,,,,,,,,,,,,,
,TN057-17PC,731.00,5.8600,3.37000,11103.15,5.86,11256.32,213.66,,,,,,,,,,,,,
,TN057-17PC,738.00,4.3700,1.49000,11160.28,4.37,11313.14,198.43,,,,,,,,,,,,,
,TN057-17PC,745.00,4.3000,1.62000,11217.41,4.30,11369.93,180.72,,,,,,,,,,,,,
,TN057-17PC,751.00,3.6000,0.66000,11266.38,3.60,11418.58,162.83,,,,,,,,,,,,,
,TN057-17PC,756.00,3.5300,1.09000,11307.19,3.53,11459.08,145.10,,,,,,,,,,,,,
,TN057-17PC,759.00,5.3500,2.62000,11331.68,5.35,11483.32,132.46,,,,,,,,,,,,,
,TN057-17PC,761.00,5.4700,3.14000,11348.00,5.47,11499.33,121.37,,,,,,,,,,,,,
,TN057-17PC,766.00,5.1500,2.92000,11444.44,5.15,11591.62,166.41,,,,,,,,,,,,,
,TN057-17PC,769.00,5.0600,2.78000,11502.31,5.06,11646.95,185.38,,,,,,,,,,,,,
,TN057-17PC,771.00,5.5100,3.05000,11540.88,5.51,11683.83,196.31,,,,,,,,,,,,,
,TN057-17PC,774.00,4.3200,1.30000,11598.75,4.32,11739.15,210.73,,,,,,,,,,,,,
,TN057-17PC,776.00,3.6000,1.00000,11637.32,3.60,11776.03,219.25,,,,,,,,,,,,,
,TN057-17PC,779.00,5.2600,2.88000,11695.19,5.26,11831.34,230.64,,,,,,,,,,,,,
,TN057-17PC,781.00,5.3600,2.70000,11733.77,5.36,11868.22,237.43,,,,,,,,,,,,,
,TN057-17PC,784.00,5.7200,3.45000,11791.63,5.72,11923.53,246.53,,,,,,,,,,,,,
,TN057-17PC,786.00,4.9900,2.42000,11830.21,4.99,11960.40,251.95,,,,,,,,,,,,,
,TN057-17PC,788.00,5.3300,2.97000,11868.78,5.33,11997.28,256.90,,,,,,,,,,,,,
,TN057-17PC,791.00,4.6400,2.11000,11926.65,4.64,12052.58,263.47,,,,,,,,,,,,,
,TN057-17PC,793.00,4.1600,1.37000,11965.23,4.16,12089.46,267.33,,,,,,,,,,,,,
,TN057-17PC,796.00,5.4800,2.93000,12023.09,5.48,12144.76,272.38,,,,,,,,,,,,,
,TN057-17PC,798.00,3.7000,1.23000,12061.67,3.70,12181.63,275.28,,,,,,,,,,,,,
,TN057-17PC,801.00,3.6100,1.29000,12119.53,3.61,12236.94,278.96,,,,,,,,,,,,,
,TN057-17PC,804.00,5.0400,2.43000,12177.40,5.04,12292.24,281.85,,,,,,,,,,,,,
,TN057-17PC,806.00,4.2100,1.34000,12215.97,4.21,12329.11,283.36,,,,,,,,,,,,,
,TN057-17PC,809.00,3.1800,0.28000,12273.84,3.18,12384.41,285.02,,,,,,,,,,,,,
,TN057-17PC,811.00,3.8300,1.63000,12312.41,3.83,12421.28,285.72,,,,,,,,,,,,,
,TN057-17PC,814.00,4.0600,1.78000,12370.28,4.06,12476.58,286.17,,,,,,,,,,,,,
,TN057-17PC,816.00,4.1800,1.10000,12408.86,4.18,12513.45,286.07,,,,,,,,,,,,,
,TN057-17PC,819.00,3.6700,1.42000,12466.72,3.67,12568.75,285.34,,,,,,,,,,,,,
,TN057-17PC,821.00,3.5700,0.79000,12505.30,3.57,12605.61,284.45,,,,,,,,,,,,,
,TN057-17PC,824.00,4.4800,1.76000,12563.16,4.48,12660.91,282.51,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
