"","Title","First Author","Year","URL","_gddid"
"58","A high-pressure folded klippe at Tehuitzingo on the western margin of an extrusion zone, Acatlán Complex, southern México","Galaz E., Gonzalo","2013","http://www.sciencedirect.com/science/article/pii/S1342937X12001773","54b43254e138239d8684bfd2"
"59","Geodynamics of the Indosinian orogeny between the South China and Indochina blocks: Insights from latest Permian–Triassic granitoids and numerical modeling","Huangfu","2018","http://dx.doi.org/10.1130/b31904.1","5c3e97cc1faed655488cd8a9"
"60","The genetic relationship between the large Guanfang W Deposit and granitic intrusions, in Yunnan Province, southwest China: Evidence from U-Pb and Re-Os geochronology and Pb and Sr isotopic characteristics","Zhang, Ya-Hui","2016","http://www.sciencedirect.com/science/article/pii/S0169136816303006","57604f89cf58f1bad0108896"
"61","The geologic classification of the meteorites","Elston, Donald Parker","1968","https://www.sciencebase.gov/catalog/item/4f4e4a9ae4b07f02db65d9f5","55ae4308e13823763a830a8a"
"62","Timing of deep-water slope evolution constrained by large-n detrital and volcanic ash zircon geochronology, Cretaceous Magallanes Basin, Chile","Stright","2017","http://dx.doi.org/10.1130/b31757.1","5a0f944acf58f1ae5984379f"
"63","Marine record of Holocene climate, ocean, and cryosphere interactions: Herbert Sound, James Ross Island, Antarctica","Minzoni, Rebecca Totten","2015","http://www.sciencedirect.com/science/article/pii/S0277379115301074","58bcd0cdcf58f152cfe8fa3f"
"64","Differentiated rare-element mineralization in an ongonite–topazite composite dike at the Xianghualing tin district, Southern China: An electron-microprobe study on the evolution from niobium–tantalum-oxides to cassiterite","Huang, Fang-Fang","2015","http://www.sciencedirect.com/science/article/pii/S0169136814001966","5598f16de1382390cc641021"
"65","Quaternary Vertical Displacement along the Liquiñe-Ofqui Fault Zone: Differential Uplift and Coeval Volcanism in the Southern Andes?","Lara, L. E.","2008","http://www.tandfonline.com/doi/abs/10.2747/0020-6814.50.11.975","58c860eacf58f17bacda0014"
"66","Theme 5: The deeper earth Session 5.1: Reconciling mantle geochemistry and geophysics: Mantle reservoirs and other tales","","2004","http://www.sciencedirect.com/science/article/pii/S0016703704003291","55c30f19cf58f1a8110b8d5b"
"67","Sedimentology and Paleontology of the Upper Cretaceous Wahweap Formation sag ponds adjacent to syndepositional normal faults, Grand Staircase-Escalante National Monument, Utah","Simpson, E.L.","2014","http://www.sciencedirect.com/science/article/pii/S0195667114000937","54b43251e138239d8684b51f"
"68","Late Pleistocene Climate Change and Erosion in the Santa Maria Basin, NW Argentina","Trauth, M. H.","2003","http://dx.doi.org/10.1306/061702730082","5713e246cf58f102168eb67e"
"69","A Middle Miocene (13.5–12Ma) deformational event constrained by volcanism along the Puna-Eastern Cordillera border, NW Argentina","Aramayo, Alejandro","2017","http://www.sciencedirect.com/science/article/pii/S0040195117300732","598cfac9cf58f192bb0307ab"
