BP	Vostok_shakun	Vostok_marcott	DomeF_marcott	DomeF_shakun	DomeC_shakun	Antarctica	SO136-GC11_shakun	SO136-GC11_marcott	MD97-2121	MD97-2020	Mount Honey	New Zealand	PC-6	KT92-17 Site 14	Composite MD01-2421; KR02-06 St A GC; KR02-06 St A MC	NW Pacific	GeoB 3313	GeoB 7139-2_marcott	GeoB 7139-2_shakun	ODP 1233_shakun	South America
6800	-0.567809524	-0.566561905	-0.26	-0.26	-0.878819119	-0.50663811	16.14210526	16.1127193	17.65093464	10.75174814	8.585713635	13.8486442	16.7067033	22.87278157	20.54528125	20.04158871		18.84939394	18.85757576		18.85348485
6900	-0.565714286	-0.566419048	-0.253333333	-0.253333333	-0.945083488	-0.516776698	16.16396396	16.13585586	17.66180226	10.79121035	8.570710995	13.86470868	16.74019231	22.93819681	20.54	20.07279637		18.85909091	18.86969697		18.86439394
7000	-0.482761905	-0.48327619	-0.246666667	-0.246666667	-0.946766635	-0.481227613	16.15495495	16.13315315	17.6655561	10.82932775	8.599197945	13.87643798	16.72103846	23.00361206	20.55741667	20.0940224		18.86878788	18.88181818		18.87530303
7100	-0.40647619	-0.409161905	-0.24	-0.24	-0.948421053	-0.44881183	16.14594595	16.13045045	17.67168552	10.85978318	8.568783509	13.87532972	16.77711538	23.0690273	20.57733333	20.14115867		18.87848485	18.89393939		18.88621212
7200	-0.420634921	-0.42281746	-0.233333333	-0.233333333	-0.948301194	-0.451684048	16.13693694	16.12774775	17.73820341	10.87977065	8.565938397	13.88971943	16.78024772	23.13444255	20.60427711	20.17298913		18.88919753	18.90617284		18.89768519
7300	-0.436309524	-0.439255952	-0.28	-0.28	-0.913450835	-0.469803262	16.11047619	16.10895238	17.77267602	10.93125017	8.632704471	13.91121185	16.74917763	23.19323028	20.61045996	20.18428929		18.90092593	18.91851852		18.90972222
7400	-0.40728863	-0.409795918	-0.326666667	-0.326666667	-0.950714286	-0.484226433	16.07238095	16.07942857	17.77136029	11.0021993	8.635216706	13.91211716	16.7017004	23.24120469	20.63125758	20.19138756		18.91265432	18.9308642		18.92175926
7500	-0.405673759	-0.410455927	-0.373333333	-0.373333333	-1.0211	-0.516779271	16.03428571	16.04990476	17.78396463	11.08953464	8.568755418	13.90528903	16.64878049	23.2891791	20.67663102	20.20486354		18.92438272	18.94320988		18.9337963
7600	-0.312563323	-0.322087133	-0.42	-0.42	-1.062121212	-0.507354334	16	16.02363636	17.79392932	11.20006445	8.541422083	13.91181044	16.53832753	23.33715352	20.67973041	20.18507048		18.93611111	18.95555556		18.94583333
7700	-0.155059524	-0.166279762	-0.466666667	-0.466666667	-1.055490196	-0.462032563	16	16.02666667	17.78932136	11.30918517	8.528376561	13.93070995	16.53232349	23.38512793	20.75759341	20.22501494		18.94790123	18.96790123		18.95790123
7800	-0.230285714	-0.23672381	-0.473333333	-0.473333333	-1.078514851	-0.498438208	16	16.02969697	17.79380119	11.39726667	8.464885023	13.93712997	16.47396021	23.4	20.64396667	20.17264229		18.96024691	18.98024691		18.97024691
7900	-0.212571429	-0.217219048	-0.48	-0.48	-1.066256742	-0.491209444	16	16.03272727	17.81093704	11.48766667	8.408083277	13.94788285	16.37526455	23.4	20.64818395	20.1411495		18.97259259	18.99259259		18.98259259
8000	-0.227891156	-0.23313897	-0.486666667	-0.486666667	-1.092592593	-0.50539121	16.00833333	16.0375	17.83611882	11.58918333	8.234030343	13.94103317	16.29281843	23.4	20.64719429	20.11333757		18.98493827	19.00493827		18.99493827
8100	-0.321103896	-0.321201299	-0.493333333	-0.493333333	-1.097008547	-0.545196082	16.01875	16.04270833	17.8786757	11.69054286	8.197717854	13.96567895	16.16179873	23.4	20.50939168	20.02373014		18.99728395	19.01728395		19.00728395
8200	-0.369642857	-0.367420635	-0.5	-0.5	-1.101886792	-0.567790057	16.02916667	16.04791667	17.89685383	11.82310238	8.167836109	13.99297513	16.04178716	23.4	20.41958801	19.95379173		19.00962963	19.02962963		19.01962963
8300	-0.328474247	-0.322740525	-0.453333333	-0.453333333	-1.122741433	-0.536124574	16.04	16.05466667	17.89371475	11.93492857	8.099728983	14.00460779	15.94822044	23.38311301	20.38632491	19.90588612		19.01036364	19.02909091		19.01972727
8400	-0.303968254	-0.300892857	-0.406666667	-0.406666667	-1.097715472	-0.503181983	16.05111111	16.06244444	17.87367273	12.03046429	7.984109912	14.0003605	15.83383459	23.36605544	20.27899286	19.82629429		19.00612121	19.0230303		19.01457576
8500	-0.304761905	-0.299737609	-0.36	-0.36	-1.025586137	-0.47001713	16.06222222	16.07022222	17.87356364	12.14571429	7.931476011	14.01663968	15.7	23.34899787	20.13542143	19.72813977		19.00187879	19.0169697		19.00942424
8600	-0.321809524	-0.314190476	-0.313333333	-0.313333333	-0.960958206	-0.444724975	16.05952381	16.06690476	17.876624	12.24492308	7.768277078	14.00325055	15.7	23.3319403	20.01389558	19.68194529		18.99763636	19.01090909		19.00427273
8700	-0.484126984	-0.475714286	-0.266666667	-0.266666667	-0.91010101	-0.480655123	16.04761905	16.05619048	17.876304	12.31415385	7.584731177	13.97579971	15.65010661	23.30464819	19.80258837	19.58578106		18.99339394	19.00484848		18.99912121
8800	-0.408730159	-0.40360119	-0.173333333	-0.173333333	-0.858103976	-0.403420398	16.03571429	16.04547619	17.83951123	12.47923718	7.46522493	13.97303276	15.57647691	23.25347548	19.70997955	19.51331065		18.9882716	18.99753086		18.99290123
8900	-0.413216715	-0.410262391	-0.08	-0.08	-0.795995996	-0.35589502	16.03846154	16.04615385	17.79732161	12.65708333	7.472600832	14.00232423	15.49882729	23.20230277	19.68293651	19.46135552		18.97962963	18.98518519		18.98240741
9000	-0.426433431	-0.423148688	0.013333333	0.013333333	-0.715915916	-0.307766274	16.04487179	16.04967949	17.78544145	12.74302083	7.496534243	14.02390956	15.48816631	23.15113006	19.71810559	19.45246732		18.97098765	18.97283951		18.97191358
9100	-0.355102041	-0.351360544	0.106666667	0.106666667	-0.682882883	-0.235202427	16.068	16.0703	17.76430666	12.82866667	7.405345798	14.02732382	15.42781955	23.09995736	19.72759036	19.41845576		18.96234568	18.96049383		18.96141975
9200	-0.286111111	-0.280396825	0.2	0.2	-0.627013252	-0.158704238	16.158	16.1593	17.73336783	12.91408333	7.303631114	14.05367645	15.31009667	23.01770213	19.63791414	19.32190431		18.9537037	18.94814815		18.95092593
9300	-0.385515873	-0.380813492	0.28	0.28	-0.528888889	-0.147043651	16.248	16.2483	17.72508475	12.997	7.248241113	14.09332517	15.14776119	22.91557447	19.57603405	19.21312324		18.94506173	18.93580247		18.9404321
9400	-0.375801749	-0.368862974	0.36	0.36	-0.462793068	-0.097491558	16.29478261	16.29417391	17.69279517	13.059	7.260613104	14.12027296	15.06247335	22.81344681	19.54533032	19.14041683		18.93484848	18.92848485		18.93166667
9500	-0.360714286	-0.349285714	0.44	0.44	-0.405198777	-0.047039755	16.32304348	16.32156522	17.64949058	13.084	7.277451028	14.13111006	14.94360902	22.71131915	19.55273105	19.06921974		18.92424242	18.92242424		18.92333333
9600	-0.357142857	-0.343581781	0.52	0.52	-0.309876543	0.005879764	16.35454545	16.35072727	17.60605009	13.10439394	7.278001334	14.13874362	14.80998926	22.60919149	19.56013177	18.99310417		18.91363636	18.91636364		18.915
9700	-0.308761905	-0.292666667	0.6	0.6	-0.213603323	0.076993621	16.39090909	16.38254545	17.58087231	13.12333333	7.272221041	14.14997625	14.68336887	22.56895522	19.44928853	18.90053754		18.9030303	18.91030303		18.90666667
9800	-0.337026239	-0.31707483	0.633333333	0.633333333	-0.171278826	0.088257354	16.438	16.4264	17.56640625	13.16610227	7.256813195	14.17074434	14.66204691	22.53484009	19.28280108	18.82656269		18.89242424	18.90424242		18.89833333
9900	-0.397222222	-0.377410714	0.666666667	0.666666667	-0.155555556	0.080628968	16.528	16.5184	17.51318468	13.25123485	7.224509546	14.20706581	14.55789474	22.50072495	19.11631362	18.72497777		18.88594444	18.9		18.89297222
10000	-0.403304179	-0.382089407	0.7	0.7	-0.157671958	0.091386891	16.60210526	16.59452632	17.43648065	13.27879167	7.136680765	14.20971693	14.42942431	22.46660981	19.0621963	18.65274347		18.88909259	18.9		18.8945463
10100	-0.47920311	-0.460408163	0.733333333	0.733333333	-0.155339806	0.074343118	16.61263158	16.60715789	17.3504794	13.28625	7.050119366	14.18132765	14.30998926	22.428742	19.02196743	18.58689956		18.89224074	18.9		18.89612037
10200	-0.586749482	-0.568385093	0.766666667	0.766666667	-0.10042735	0.055554281	16.59666667	16.59166667	17.26948699	13.28364583	6.980396029	14.14437244	14.2670247	22.3775693	18.97421007	18.53960136		18.89538889	18.9		18.89769444
10300	-0.55	-0.53347619	0.753333333	0.753333333	-0.193203883	0.045997319	16.51888889	16.51055556	17.25487444	13.295625	6.910672691	14.09812332	14.1	22.32639659	18.78341146	18.40326935		18.89853704	18.9		18.89926852
10400	-0.53148688	-0.514965986	0.74	0.74	-0.250980392	0.036513348	16.49764706	16.48941176	17.18857949	13.3190625	6.850784511	14.06909706	13.86375267	22.27522388	18.55658155	18.2318527		18.90168519	18.9		18.90084259
10500	-0.497619048	-0.486	0.726666667	0.726666667	-0.381372549	0.017668347	16.53294118	16.52823529	17.1548	13.428	6.90100212	14.10899572	13.59495166	22.22405117	18.32047944	18.04649409		18.88736364	18.88636364		18.88686364
10600	-0.455619048	-0.446514286	0.713333333	0.713333333	-0.500647249	0.004777217	16.50235294	16.50305882	17.13746665	13.50703846	6.95121973	14.12022732	13.40161117	22.2112766	18.17283059	17.92857278		18.87110101	18.87121212		18.87115657
10700	-0.369047619	-0.35952381	0.7	0.7	-0.565372168	0.021211281	16.46588235	16.47223529	17.10860912	13.52658974	6.998786256	14.11442055	13.11729323	22.23255319	18.00114286	17.78366309		18.85483838	18.85606061		18.85544949
10800	-0.405952381	-0.396428571	0.646666667	0.646666667	-0.694771242	-0.040763772	16.52470588	16.53458824	17.07740437	13.54614103	7.021097724	14.14078745	12.81620469	22.25382979	17.82336871	17.6311344		18.83287879	18.83484848	15.54206349	17.73659692
10900	-0.3505345	-0.341856171	0.593333333	0.593333333	-0.752805281	-0.051705857	16.56941176	16.57952941	17.0567166	13.54557143	7.043409192	14.15892768	12.53906194	22.27510638	17.59101408	17.46839414		18.80712121	18.80959596	15.46269841	17.69313853
11000	-0.407043651	-0.399751984	0.54	0.54	-0.745206972	-0.094400521	16.59294118	16.59835294	16.98699583	13.56253571	7.067034929	14.16157212	12.35825277	22.29638298	17.1791831	17.27793962		18.78136364	18.78434343	15.46631702	17.67734136
11100	-0.485714286	-0.478571429	0.486666667	0.486666667	-0.914994606	-0.181189397	16.62210526	16.62905263	16.9099023	13.56876733	7.101629282	14.16629136	12.1511194	22.31061834	16.79548357	17.08574044		18.76333333	18.76666667	15.45737081	17.66245694
11200	-0.50576087		0.433333333	0.433333333	-0.943042071	-0.145534069	16.65368421	16.66484211	16.83301412	13.57002641	7.136223636	14.1715581	11.96852846	22.32341151	16.52447619	16.93880539		18.76333333	18.76666667	15.40513834	17.64504611
11300	-0.674166667		0.273333333	0.273333333	-1.010784314	-0.284571078	16.62631579	16.64	16.74477515	13.58103236	7.170942376	14.15261314	11.83566569	22.33620469	16.19255072	16.78814037		18.76333333	18.76666667	15.30922266	17.61307422
11400	-0.9		0.113333333	0.113333333	-1.003883495	-0.419304207	16.58421053	16.6	16.64128279	13.58937974	7.206573289	14.12428927	11.76375121	22.34899787	15.97762388	16.69679099		18.76333333	18.76666667	15.29275362	17.60758454
11500	-1.1225		-0.046666667	-0.046666667	-1.085953878	-0.575446803	16.63142857	16.64228571	16.53390408	13.55518215	7.242204202	14.12100094	11.69183673	22.36059701		17.02621687		18.70171717	18.7010101	15.2262064	17.54297789
11600	-1.384878543		-0.206666667	-0.206666667	-1.270440252	-0.767163032	16.68857143	16.69371429	16.42652537	13.48483388	7.276839971	14.11409699	11.66666667	22.36486141		17.01576404		18.64010101	18.63535354	15.15910973	17.47818809
11700	-1.780555556		-0.366666667	-0.366666667	-1.423076923	-0.984241453	16.64909091	16.65236364	16.32998476		7.310025811	14.23536628	11.6200542	22.3691258		16.99459		18.57848485	18.56969697	15.14927536	17.43248573
11800	-2.088690476			-0.506666667	-1.648253968	-1.414537037	16.58545455	16.58781818	16.24713274		7.343211652	14.19090428	11.53198381	22.37339019		16.952687		18.52676768	18.51818182	15.06231884	17.36908945
