BP,New Zealand
62400,14.92962185
62500,14.86659664
62600,14.80357143
62700,14.74054622
62800,14.67752101
62900,14.6144958
63000,14.6
63100,14.6
63200,14.57542017
63300,14.51239496
63400,14.44964569
63500,14.41421485
63600,14.37878401
63700,14.34335317
63800,14.31262626
63900,14.32946128
64000,14.3462963
64100,14.36313131
64200,14.37777778
64300,14.37777778
64400,14.36403732
64500,14.37239057
64600,14.40371901
64700,14.42438017
64800,14.44207989
64900,14.46301653
65000,14.4873878
65100,14.51270426
65200,14.53802071
65300,14.56333717
65400,14.58553719
65500,14.59931129
65600,14.6981405
65700,14.71683884
65800,14.68584711
65900,14.65485537
66000,14.63393477
66100,14.62610193
66200,14.63863636
66300,14.67651515
66400,14.71439394
66500,14.70681818
66600,14.68661616
66700,14.67652672
66800,14.69561069
66900,14.69513889
67000,14.67901171
67100,14.6518595
67200,14.63119835
67300,14.61379132
67400,14.59714761
67500,14.58549618
67600,14.59821883
67700,14.6130303
67800,14.60818182
67900,14.5862963
68000,14.56441077
68100,14.54252525
68200,14.47474747
68300,14.4
68400,14.4
68500,14.42998737
68600,14.46155303
68700,14.49311869
68800,14.52468434
68900,14.55625
69000,14.59373737
69100,14.64137405
69200,14.70321396
69300,14.7835629
69400,14.86391185
69500,14.94426079
69600,15.02364555
69700,15.09194215
69800,15.1522533
69900,15.23589744
70000,15.35607751
70100,15.50287728
70200,15.63933566
70300,15.74460956
70400,15.81738456
70500,15.87762987
70600,15.96393939
70700,16.05484848
70800,16.1437659
70900,16.22519084
71000,16.28852814
71100,16.35194805
71200,16.41406926
71300,16.46818182
71400,16.50194805
71500,16.52770563
71600,16.54776445
71700,16.56412214
71800,16.55357143
71900,16.55097611
72000,16.55243298
72100,16.55394814
72200,16.55734751
72300,16.50902778
72400,16.45223225
72500,16.41586777
72600,16.38694215
72700,16.31666667
72800,16.25037037
72900,16.21001406
73000,16.20087201
73100,16.19172996
73200,16.1825879
73300,16.17607323
73400,16.18238636
73500,16.18869949
73600,16.19501263
73700,16.20850633
73800,16.24901266
73900,16.28951899
74000,16.33002532
74100,16.37444444
74200,16.43
74300,16.48555556
74400,16.54111111
74500,16.60126582
74600,16.6721519
74700,16.74303797
74800,16.81392405
74900,16.87590909
75000,16.92136364
75100,16.96681818
75200,17.01227273
75300,17.05974684
75400,17.11037975
75500,17.16101266
75600,17.21164557
75700,17.26666667
75800,17.32727273
75900,17.38787879
76000,17.44848485
76100,17.49939394
76200,17.53979798
76300,17.58020202
76400,17.62060606
76500,17.65843038
